n,gamma,testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_supportCR,mean_supportTail
100,0.2,comonotone,CR-SHP,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,comonotone,CVaR-CR-SHP,10,1650.18623826087,1442.11136942434,1442.11136942434,1442.11136942434,336.100059233635,201,1.6
100,0.2,comonotone,Mixed,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,comonotone,Nominal,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,gaussian06,CR-SHP,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,gaussian06,CVaR-CR-SHP,10,1700.09176725324,1482.01113638165,1483.48204461941,1442.11136942434,412.345234948867,201,1.6
100,0.2,gaussian06,Mixed,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,gaussian06,Nominal,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,independent,CR-SHP,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,independent,CVaR-CR-SHP,10,1751.37667732037,1702.70616929938,1705.77986976761,1652.61040544999,488.999700438721,201,1.6
100,0.2,independent,Mixed,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,independent,Nominal,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,t_copula06,CR-SHP,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.2,t_copula06,CVaR-CR-SHP,10,1702.44279992262,1479.90452451335,1479.98173857831,1442.11136942434,417.338873269617,201,1.6
100,0.2,t_copula06,Mixed,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.2,t_copula06,Nominal,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.5,comonotone,CR-SHP,10,4451.16116564915,3053.3778630028,3053.3778630028,3053.3778630028,0,201,1.6
100,0.5,comonotone,CVaR-CR-SHP,10,3263.10121585822,3263.10121585821,3263.10121585822,3263.10121585822,1188.05994979093,201,1.6
100,0.5,comonotone,Mixed,10,4451.16116564915,3053.3778630028,3053.3778630028,3053.3778630028,0,201,1.6
100,0.5,comonotone,Nominal,10,4451.16116564915,3053.3778630028,3053.3778630028,3053.3778630028,0,201,1.6
100,0.5,gaussian06,CR-SHP,10,4623.48878419145,3283.61120689982,3287.57878716135,3053.3778630028,0,201,1.6
100,0.5,gaussian06,CVaR-CR-SHP,10,3263.10121585822,3263.10121585821,3263.10121585822,3263.10121585822,1360.38756833323,201,1.6
100,0.5,gaussian06,Mixed,10,4623.48878419145,3283.61120689982,3287.57878716135,3053.3778630028,0,201,1.6
100,0.5,gaussian06,Nominal,10,4623.48878419145,3283.61120689982,3287.57878716135,3053.3778630028,0,201,1.6
100,0.5,independent,CR-SHP,10,4822.41856890055,4582.32293897162,4597.5233448915,4275.19702375691,0,201,1.6
100,0.5,independent,CVaR-CR-SHP,10,3263.10121585822,3263.10121585821,3263.10121585822,3263.10121585822,1559.31735304233,201,1.6
100,0.5,independent,Mixed,10,4822.41856890055,4582.32293897162,4597.5233448915,4275.19702375691,0,201,1.6
100,0.5,independent,Nominal,10,4822.41856890055,4582.32293897162,4597.5233448915,4275.19702375691,0,201,1.6
100,0.5,t_copula06,CR-SHP,10,4632.65659942289,3268.5665350348,3270.61225680691,3053.3778630028,0,201,1.6
100,0.5,t_copula06,CVaR-CR-SHP,10,3263.10121585822,3263.10121585821,3263.10121585822,3263.10121585822,1369.55538356467,201,1.6
100,0.5,t_copula06,Mixed,10,4632.65659942289,3268.5665350348,3270.61225680691,3053.3778630028,0,201,1.6
100,0.5,t_copula06,Nominal,10,4632.65659942289,3268.5665350348,3270.61225680691,3053.3778630028,0,201,1.6
200,0.2,comonotone,CR-SHP,10,3988.42681015443,2867.32301599482,2867.32301599482,2867.32301599482,0,401,3.4
200,0.2,comonotone,CVaR-CR-SHP,10,3529.97369175596,2880.94297109855,2880.94297109855,2880.94297109855,458.453118398467,401,3.4
200,0.2,comonotone,Mixed,10,3988.42681015443,2867.32301599482,2867.32301599482,2867.32301599482,0,401,3.4
200,0.2,comonotone,Nominal,10,3988.42681015443,2867.32301599482,2867.32301599482,2867.32301599482,0,401,3.4
200,0.2,gaussian06,CR-SHP,10,4232.14421040394,3113.91285762007,3120.73251033388,2867.32301599482,0,401,3.4
200,0.2,gaussian06,CVaR-CR-SHP,10,3678.41381760623,3014.73639988486,3017.79844662295,2880.94297109855,553.730392797715,401,3.4
200,0.2,gaussian06,Mixed,10,4232.14421040394,3113.91285762007,3120.73251033388,2867.32301599482,0,401,3.4
200,0.2,gaussian06,Nominal,10,4232.14421040394,3113.91285762007,3120.73251033388,2867.32301599482,0,401,3.4
200,0.2,independent,CR-SHP,10,4496.71593540767,4328.66783626601,4338.46280107503,4157.4876145989,0,401,3.4
200,0.2,independent,CVaR-CR-SHP,10,3834.99431369443,3734.14400591735,3740.1275375719,3637.02911303298,661.721621713244,401,3.4
200,0.2,independent,Mixed,10,4496.71593540767,4328.66783626601,4338.46280107503,4157.4876145989,0,401,3.4
200,0.2,independent,Nominal,10,4496.71593540767,4328.66783626601,4338.46280107503,4157.4876145989,0,401,3.4
200,0.2,t_copula06,CR-SHP,10,4252.39932274312,3110.36518866768,3119.0011576998,2867.32301599482,0,401,3.4
200,0.2,t_copula06,CVaR-CR-SHP,10,3691.80627456802,3013.04274702122,3017.20419611628,2880.94297109855,560.5930481751,401,3.4
200,0.2,t_copula06,Mixed,10,4252.39932274312,3110.36518866768,3119.0011576998,2867.32301599482,0,401,3.4
200,0.2,t_copula06,Nominal,10,4252.39932274312,3110.36518866768,3119.0011576998,2867.32301599482,0,401,3.4
200,0.5,comonotone,CR-SHP,10,8936.97920794524,6145.35220790307,6145.35220790307,6145.35220790307,0,401,3.4
200,0.5,comonotone,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,2398.73068327946,401,3.4
200,0.5,comonotone,Mixed,10,8936.97920794524,6145.35220790307,6145.35220790307,6145.35220790307,0,401,3.4
200,0.5,comonotone,Nominal,10,8936.97920794524,6145.35220790307,6145.35220790307,6145.35220790307,0,401,3.4
200,0.5,gaussian06,CR-SHP,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,gaussian06,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,2722.39747591157,401,3.4
200,0.5,gaussian06,Mixed,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,gaussian06,Nominal,10,9260.64600057735,6614.53313589583,6622.62535149333,6145.35220790307,0,401,3.4
200,0.5,independent,CR-SHP,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,independent,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,3128.99330688361,401,3.4
200,0.5,independent,Mixed,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,independent,Nominal,10,9667.24183154939,9330.01904927805,9349.97149235911,8947.07389661406,0,401,3.4
200,0.5,t_copula06,CR-SHP,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
200,0.5,t_copula06,CVaR-CR-SHP,10,6538.24852466578,6538.24852466576,6538.24852466576,6538.24852466576,2753.76318104239,401,3.4
200,0.5,t_copula06,Mixed,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
200,0.5,t_copula06,Nominal,10,9292.01170570817,6589.53007811627,6596.36759111652,6145.35220790307,0,401,3.4
