testDate,model,profit,regretToBest,n,k,chainSupport,tailSupport,selectedCount
2025-07-01,Nominal,5318.204899,0,144,72,60,6,29
2025-07-01,CR-SHP,5297.33167,20.8732289999998,144,72,60,6,66
2025-07-01,CVaR-CR-SHP,5179.848284,138.356615,144,72,60,6,72
2025-07-01,Mixed,5293.501968,24.7029309999998,144,72,60,6,66
2025-07-02,Nominal,5354.700682,29.3947440000002,144,72,60,6,66
2025-07-02,CR-SHP,5354.700682,29.3947440000002,144,72,60,6,66
2025-07-02,CVaR-CR-SHP,5384.095426,0,144,72,60,6,72
2025-07-02,Mixed,5381.709056,2.38637000000017,144,72,60,6,69
2025-07-03,Nominal,5912.692102,0,144,72,60,6,66
2025-07-03,CR-SHP,5912.692102,0,144,72,60,6,66
2025-07-03,CVaR-CR-SHP,5701.231705,211.460397,144,72,60,6,72
2025-07-03,Mixed,5775.159681,137.532421,144,72,60,6,71
2025-07-04,Nominal,3330.805946,717.128786999999,144,72,60,6,31
2025-07-04,CR-SHP,3330.517211,717.417521999999,144,72,60,6,31
2025-07-04,CVaR-CR-SHP,4047.934733,0,144,72,60,6,72
2025-07-04,Mixed,3997.704295,50.230438,144,72,60,6,66
2025-07-05,Nominal,4827.053313,5.73495100000036,144,72,60,6,49
2025-07-05,CR-SHP,4832.788264,0,144,72,60,6,49
2025-07-05,CVaR-CR-SHP,4715.137575,117.650688999999,144,72,60,6,72
2025-07-05,Mixed,4742.06555,90.7227139999995,144,72,60,6,70
2025-07-06,Nominal,5123.434357,276.568814,144,72,60,6,66
2025-07-06,CR-SHP,5121.108136,278.895035,144,72,60,6,66
2025-07-06,CVaR-CR-SHP,5400.003171,0,144,72,60,6,72
2025-07-06,Mixed,5400.003171,0,144,72,60,6,72
2025-07-07,Nominal,4892.743486,464.909257000001,144,72,60,6,47
2025-07-07,CR-SHP,5349.161381,8.49136200000066,144,72,60,6,66
2025-07-07,CVaR-CR-SHP,5289.988147,67.6645960000005,144,72,60,6,72
2025-07-07,Mixed,5357.652743,0,144,72,60,6,66
2025-07-08,Nominal,7080.908374,76.3699390000011,144,72,60,6,66
2025-07-08,CR-SHP,7125.863155,31.4151580000007,144,72,60,6,66
2025-07-08,CVaR-CR-SHP,7157.278313,0,144,72,60,6,72
2025-07-08,Mixed,7157.278313,0,144,72,60,6,72
2025-07-09,Nominal,5971.660651,61.5041620000002,144,72,60,6,66
2025-07-09,CR-SHP,5971.660651,61.5041620000002,144,72,60,6,66
2025-07-09,CVaR-CR-SHP,6033.164813,0,144,72,60,6,72
2025-07-09,Mixed,5998.691407,34.473406000001,144,72,60,6,70
2025-07-10,Nominal,4830.879588,518.714657,144,72,60,6,17
2025-07-10,CR-SHP,5349.594245,0,144,72,60,6,66
2025-07-10,CVaR-CR-SHP,5285.303355,64.2908900000002,144,72,60,6,72
2025-07-10,Mixed,5326.574666,23.0195790000007,144,72,60,6,69
2025-07-11,Nominal,5832.617681,0,144,72,60,6,66
2025-07-11,CR-SHP,5832.617681,0,144,72,60,6,66
2025-07-11,CVaR-CR-SHP,5700.557138,132.060543,144,72,60,6,72
2025-07-11,Mixed,5746.554158,86.0635230000007,144,72,60,6,71
2025-07-12,Nominal,4544.400408,726.02927,144,72,60,6,44
2025-07-12,CR-SHP,5128.207672,142.222006,144,72,60,6,66
2025-07-12,CVaR-CR-SHP,5270.429678,0,144,72,60,6,72
2025-07-12,Mixed,5270.429678,0,144,72,60,6,72
2025-07-13,Nominal,5472.065363,0,144,72,60,6,6
2025-07-13,CR-SHP,5423.823755,48.2416079999994,144,72,60,6,6
2025-07-13,CVaR-CR-SHP,4167.887605,1304.177758,144,72,60,6,72
2025-07-13,Mixed,4266.331099,1205.734264,144,72,60,6,66
2025-07-14,Nominal,6785.000408,0,144,72,60,6,66
2025-07-14,CR-SHP,6768.224456,16.775952,144,72,60,6,66
2025-07-14,CVaR-CR-SHP,6633.152063,151.848344999999,144,72,60,6,72
2025-07-14,Mixed,6651.449191,133.551217,144,72,60,6,71
2025-07-15,Nominal,8919.604784,0,144,72,60,6,67
2025-07-15,CR-SHP,8332.379173,587.225610999998,144,72,60,6,72
2025-07-15,CVaR-CR-SHP,8332.379173,587.225610999998,144,72,60,6,72
2025-07-15,Mixed,8332.379173,587.225610999998,144,72,60,6,72
2025-07-16,Nominal,7932.257267,70.4332819999991,144,72,60,6,66
2025-07-16,CR-SHP,7928.486625,74.2039239999995,144,72,60,6,66
2025-07-16,CVaR-CR-SHP,8002.690549,0,144,72,60,6,72
2025-07-16,Mixed,8002.690549,0,144,72,60,6,72
2025-07-17,Nominal,8890.772319,105.153084000001,144,72,60,6,66
2025-07-17,CR-SHP,8890.772319,105.153084000001,144,72,60,6,66
2025-07-17,CVaR-CR-SHP,8995.925403,0,144,72,60,6,72
2025-07-17,Mixed,8992.435763,3.48963999999978,144,72,60,6,71
2025-07-18,Nominal,5266.784755,0,144,72,60,6,29
2025-07-18,CR-SHP,5050.359965,216.424790000001,144,72,60,6,6
2025-07-18,CVaR-CR-SHP,4947.488579,319.296176000002,144,72,60,6,72
2025-07-18,Mixed,5016.868099,249.916656000002,144,72,60,6,66
2025-07-19,Nominal,4674.369049,584.192890000001,144,72,60,6,6
2025-07-19,CR-SHP,4669.27542,589.286519000001,144,72,60,6,6
2025-07-19,CVaR-CR-SHP,5213.633489,44.9284500000003,144,72,60,6,72
2025-07-19,Mixed,5258.561939,0,144,72,60,6,68
2025-07-20,Nominal,5360.331674,220.265996,144,72,60,6,6
2025-07-20,CR-SHP,5360.331674,220.265996,144,72,60,6,6
2025-07-20,CVaR-CR-SHP,5564.730538,15.8671320000003,144,72,60,6,72
2025-07-20,Mixed,5580.59767,0,144,72,60,6,68
2025-07-21,Nominal,4159.086496,448.9435,144,72,60,6,6
2025-07-21,CR-SHP,4143.711171,464.318825,144,72,60,6,6
2025-07-21,CVaR-CR-SHP,4603.224346,4.80565000000024,144,72,60,6,72
2025-07-21,Mixed,4608.029996,0,144,72,60,6,66
2025-07-22,Nominal,4458.50023,4.35174099999949,144,72,60,6,2
2025-07-22,CR-SHP,4462.851971,0,144,72,60,6,4
2025-07-22,CVaR-CR-SHP,4048.389639,414.462332,144,72,60,6,72
2025-07-22,Mixed,4179.31388,283.538090999999,144,72,60,6,66
2025-07-23,Nominal,5213.433306,243.667534,144,72,60,6,43
2025-07-23,CR-SHP,5216.263089,240.837751,144,72,60,6,43
2025-07-23,CVaR-CR-SHP,5457.10084,0,144,72,60,6,72
2025-07-23,Mixed,5441.435776,15.6650639999998,144,72,60,6,67
2025-07-24,Nominal,9438.350338,0,144,72,60,6,69
2025-07-24,CR-SHP,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-24,CVaR-CR-SHP,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-24,Mixed,9424.576632,13.7737059999999,144,72,60,6,72
2025-07-25,Nominal,11149.625955,0,144,72,60,6,72
2025-07-25,CR-SHP,11149.625955,0,144,72,60,6,72
2025-07-25,CVaR-CR-SHP,11149.625955,0,144,72,60,6,72
2025-07-25,Mixed,11149.625955,0,144,72,60,6,72
2025-07-26,Nominal,4891.656826,166.605028999999,144,72,60,6,6
2025-07-26,CR-SHP,4809.385489,248.876366,144,72,60,6,12
2025-07-26,CVaR-CR-SHP,4893.592208,164.669647,144,72,60,6,72
2025-07-26,Mixed,5058.261855,0,144,72,60,6,66
2025-07-27,Nominal,6121.275833,36.4163240000007,144,72,60,6,66
2025-07-27,CR-SHP,6157.692157,0,144,72,60,6,66
2025-07-27,CVaR-CR-SHP,6071.134466,86.5576909999991,144,72,60,6,72
2025-07-27,Mixed,6147.073137,10.6190199999983,144,72,60,6,70
2025-07-28,Nominal,15830.260236,0,144,72,60,6,72
2025-07-28,CR-SHP,15830.260236,0,144,72,60,6,72
2025-07-28,CVaR-CR-SHP,15830.260236,0,144,72,60,6,72
2025-07-28,Mixed,15830.260236,0,144,72,60,6,72
2025-07-29,Nominal,28032.511731,0,144,72,60,6,72
2025-07-29,CR-SHP,28032.511731,0,144,72,60,6,72
2025-07-29,CVaR-CR-SHP,28032.511731,0,144,72,60,6,72
2025-07-29,Mixed,28032.511731,0,144,72,60,6,72
2025-07-30,Nominal,11202.312942,0.941361000001052,144,72,60,6,66
2025-07-30,CR-SHP,11203.254303,0,144,72,60,6,69
2025-07-30,CVaR-CR-SHP,11152.849676,50.4046269999999,144,72,60,6,72
2025-07-30,Mixed,11152.849676,50.4046269999999,144,72,60,6,72
2025-07-31,Nominal,5237.323232,0,144,72,60,6,6
2025-07-31,CR-SHP,5237.323232,0,144,72,60,6,6
2025-07-31,CVaR-CR-SHP,4553.356056,683.967176,144,72,60,6,72
2025-07-31,Mixed,5072.520118,164.803114,144,72,60,6,22
