n,gamma,k,seed,beta,alpha,lambda,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,1,1.05,0.75,0.75,independent,Nominal,3262.65838354037,3263.0616403251,2988.12981403294,3007.64282692081,2621.80826231617,0,121,111,4
60,0.5,30,1,1.05,0.75,0.75,independent,CR-SHP,2812.76576103604,3198.06994250909,3012.9824360188,3029.14955509974,2787.22355176204,64.9916978160113,121,111,14
60,0.5,30,1,1.05,0.75,0.75,independent,CVaR-CR-SHP,2710.67029023164,2801.63385252595,2781.04598220813,2782.63812794562,2754.19986038754,461.427787799149,121,111,28
60,0.5,30,1,1.05,0.75,0.75,independent,Mixed,2770.97892763125,3092.68556535624,2984.32219679299,2992.15083323287,2783.51992911942,170.376074968857,121,111,19
60,0.5,30,1,1.05,0.75,0.75,gaussian06,Nominal,3262.65838354037,2991.82390605592,1689.30176542072,1667.95995014584,1489.3707545551,12.6228977690498,121,111,4
60,0.5,30,1,1.05,0.75,0.75,gaussian06,CR-SHP,2812.76576103604,3004.44680382497,2189.29600284118,2179.14540058418,2064.36177935284,0,121,111,14
60,0.5,30,1,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2710.67029023164,2781.34334342643,2669.68530546619,2673.96513544205,2630.93148621951,223.103460398541,121,111,28
60,0.5,30,1,1.05,0.75,0.75,gaussian06,Mixed,2770.97892763125,2957.0502305434,2383.4839027857,2379.30364727495,2275.33100795183,47.3965732815718,121,111,19
60,0.5,30,1,1.05,0.75,0.75,comonotone,Nominal,3262.65838354037,2735.64449683264,1489.3707545551,1489.3707545551,1489.3707545551,75.8103759275436,121,111,4
60,0.5,30,1,1.05,0.75,0.75,comonotone,CR-SHP,2812.76576103604,2811.45487276018,2064.36177935284,2064.36177935284,2064.36177935284,0,121,111,14
60,0.5,30,1,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2710.67029023164,2736.11449360502,2630.93148621952,2630.93148621951,2630.93148621951,75.3403791551632,121,111,28
60,0.5,30,1,1.05,0.75,0.75,comonotone,Mixed,2770.97892763125,2804.10056438649,2275.33100795183,2275.33100795183,2275.33100795183,7.3543083736954,121,111,19
60,0.5,30,1,1.05,0.75,0.75,t_copula06,Nominal,3262.65838354037,3006.97665421809,1675.89078852825,1667.05725382174,1489.3707545551,8.81676870159481,121,111,4
60,0.5,30,1,1.05,0.75,0.75,t_copula06,CR-SHP,2812.76576103604,3015.79342291968,2184.75781334155,2182.69783062835,2064.36177935284,0,121,111,14
60,0.5,30,1,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2710.67029023164,2782.85582170817,2672.06788969493,2678.55865469587,2630.93148621951,232.937601211513,121,111,28
60,0.5,30,1,1.05,0.75,0.75,t_copula06,Mixed,2770.97892763125,2964.21590472659,2381.4197504099,2382.5921246933,2275.33100795183,51.5775181930921,121,111,19
60,0.5,30,1,1.05,0.75,0.75,adverse,Nominal,3262.65838354037,2751.1891412966,1489.3707545551,1489.3707545551,1489.3707545551,61.5766197394387,121,111,4
60,0.5,30,1,1.05,0.75,0.75,adverse,CR-SHP,2812.76576103604,2812.76576103604,2064.36177935284,2064.36177935284,2064.36177935284,0,121,111,14
60,0.5,30,1,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2710.67029023164,2736.43897034343,2630.93148621951,2630.93148621951,2630.93148621951,76.3267906926117,121,111,28
60,0.5,30,1,1.05,0.75,0.75,adverse,Mixed,2770.97892763125,2806.53851575114,2275.33100795183,2275.33100795183,2275.33100795183,6.22724528490153,121,111,19
60,0.5,30,2,1.05,0.75,0.75,independent,Nominal,3222.96639155347,3209.10060625913,2947.41948868565,2967.58180906361,2612.90268134344,0,121,110,5
60,0.5,30,2,1.05,0.75,0.75,independent,CR-SHP,2769.41984140778,3079.45964145983,2954.18277101255,2968.70067977502,2841.01940834454,129.640964799296,121,110,18
60,0.5,30,2,1.05,0.75,0.75,independent,CVaR-CR-SHP,2681.81223751098,2772.91994839325,2747.10002222488,2749.40950806569,2716.26638641817,436.18065786588,121,110,28
60,0.5,30,2,1.05,0.75,0.75,independent,Mixed,2741.18669524039,3005.47707668758,2913.23353354016,2922.68971244083,2816.35362757475,203.623529571553,121,110,21
60,0.5,30,2,1.05,0.75,0.75,gaussian06,Nominal,3222.96639155347,2949.85404972848,1671.32763701747,1665.71234714118,1509.95953165059,0,121,110,5
60,0.5,30,2,1.05,0.75,0.75,gaussian06,CR-SHP,2769.41984140778,2933.82281057883,2302.03003762686,2303.99028365598,2198.52436492446,16.0312391496509,121,110,18
60,0.5,30,2,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2681.81223751098,2752.4071489331,2643.13945895128,2645.18665281058,2610.83476177459,197.446900795387,121,110,28
60,0.5,30,2,1.05,0.75,0.75,gaussian06,Mixed,2741.18669524039,2895.8974805695,2425.2609491765,2424.62714837189,2340.43253818989,53.9565691589814,121,110,21
60,0.5,30,2,1.05,0.75,0.75,comonotone,Nominal,3222.96639155347,2714.03492410858,1509.95953165059,1509.95953165059,1509.95953165059,58.7499373963019,121,110,5
60,0.5,30,2,1.05,0.75,0.75,comonotone,CR-SHP,2769.41984140778,2772.78486150488,2198.52436492446,2198.52436492446,2198.52436492446,0,121,110,18
60,0.5,30,2,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2681.81223751098,2709.89507384514,2610.83476177459,2610.83476177459,2610.83476177459,62.8897876597434,121,110,28
60,0.5,30,2,1.05,0.75,0.75,comonotone,Mixed,2741.18669524039,2767.44105229064,2340.43253818989,2340.43253818989,2340.43253818989,5.34380921423644,121,110,21
60,0.5,30,2,1.05,0.75,0.75,t_copula06,Nominal,3222.96639155347,2953.64358009578,1678.40163272635,1678.6414702263,1509.95953165059,0,121,110,5
60,0.5,30,2,1.05,0.75,0.75,t_copula06,CR-SHP,2769.41984140778,2934.35294990733,2301.92689093631,2300.77179773032,2198.52436492446,19.2906301884523,121,110,18
60,0.5,30,2,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2681.81223751098,2753.78730412963,2646.2329173877,2653.39980816104,2610.83476177459,199.856275966149,121,110,28
60,0.5,30,2,1.05,0.75,0.75,t_copula06,Mixed,2741.18669524039,2897.63561756036,2426.17516876593,2418.5648964044,2340.43253818989,56.0079625354178,121,110,21
60,0.5,30,2,1.05,0.75,0.75,adverse,Nominal,3222.96639155347,2712.61990614697,1509.95953165059,1509.95953165059,1509.95953165059,56.7999352608113,121,110,5
60,0.5,30,2,1.05,0.75,0.75,adverse,CR-SHP,2769.41984140778,2769.41984140778,2198.52436492446,2198.52436492446,2198.52436492446,0,121,110,18
60,0.5,30,2,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2681.81223751098,2709.35310632723,2610.83476177459,2610.83476177459,2610.83476177459,60.0667350805456,121,110,28
60,0.5,30,2,1.05,0.75,0.75,adverse,Mixed,2741.18669524039,2764.3243132092,2340.43253818989,2340.43253818989,2340.43253818989,5.09552819857709,121,110,21
60,0.5,30,3,1.05,0.75,0.75,independent,Nominal,3288.32445982725,3279.69722012298,2972.90264540046,2993.49205992883,2663.73392356538,0,121,103,3
60,0.5,30,3,1.05,0.75,0.75,independent,CR-SHP,2793.36529877401,3202.06042291457,2991.15272506264,3003.46873520875,2706.80917234428,77.6367972084108,121,103,14
60,0.5,30,3,1.05,0.75,0.75,independent,CVaR-CR-SHP,2656.19013392797,2837.3406134157,2789.21041508382,2794.40326453402,2727.88399496841,442.35660670728,121,103,26
60,0.5,30,3,1.05,0.75,0.75,independent,Mixed,2735.61478053633,3094.86913235333,2960.08049510999,2970.72053320269,2798.26581828285,184.828087769648,121,103,19
60,0.5,30,3,1.05,0.75,0.75,gaussian06,Nominal,3288.32445982725,3022.03801513919,1608.1691629109,1590.98288168976,1458.11029225995,0,121,103,3
60,0.5,30,3,1.05,0.75,0.75,gaussian06,CR-SHP,2793.36529877401,3013.18063274299,2160.70833938078,2151.22072940646,2070.09264539039,8.85738239619286,121,103,14
60,0.5,30,3,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2656.19013392797,2788.98015786925,2570.2576343032,2567.83808759909,2526.38270884036,233.057857269939,121,103,26
60,0.5,30,3,1.05,0.75,0.75,gaussian06,Mixed,2735.61478053633,2952.61743997003,2349.50395969233,2342.77948711891,2266.80528968725,69.4205751691584,121,103,19
60,0.5,30,3,1.05,0.75,0.75,comonotone,Nominal,3288.32445982725,2770.89463400282,1458.11029225995,1458.11029225995,1458.11029225995,54.6325752069165,121,103,3
60,0.5,30,3,1.05,0.75,0.75,comonotone,CR-SHP,2793.36529877401,2825.52720920973,2070.0926453904,2070.09264539039,2070.09264539039,0,121,103,14
60,0.5,30,3,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2656.19013392797,2720.95964801254,2526.38270884036,2526.38270884036,2526.38270884036,104.567561197189,121,103,26
60,0.5,30,3,1.05,0.75,0.75,comonotone,Mixed,2735.61478053633,2802.03235402099,2266.80528968725,2266.80528968725,2266.80528968725,23.4948551887387,121,103,19
60,0.5,30,3,1.05,0.75,0.75,t_copula06,Nominal,3288.32445982725,3023.260531815,1583.46890203283,1571.03412362082,1458.11029225995,0,121,103,3
60,0.5,30,3,1.05,0.75,0.75,t_copula06,CR-SHP,2793.36529877401,3016.34193943263,2145.57575725373,2130.86348906183,2070.09264539039,6.91859238236702,121,103,14
60,0.5,30,3,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2656.19013392797,2789.5053867524,2563.26283447417,2560.33869429197,2526.38270884036,233.755145062602,121,103,26
60,0.5,30,3,1.05,0.75,0.75,t_copula06,Mixed,2735.61478053633,2954.47594319293,2332.75615057409,2321.22107429615,2266.80528968725,68.7845886220684,121,103,19
60,0.5,30,3,1.05,0.75,0.75,adverse,Nominal,3288.32445982725,2726.8016923749,1458.11029225995,1458.11029225995,1458.11029225995,66.5636063991092,121,103,3
60,0.5,30,3,1.05,0.75,0.75,adverse,CR-SHP,2793.36529877401,2793.36529877401,2070.09264539039,2070.09264539039,2070.09264539039,0,121,103,14
60,0.5,30,3,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2656.19013392797,2711.28251132156,2526.38270884036,2526.38270884036,2526.38270884036,82.0827874524534,121,103,26
60,0.5,30,3,1.05,0.75,0.75,adverse,Mixed,2735.61478053633,2778.43087717274,2266.80528968725,2266.80528968725,2266.80528968725,14.9344216012719,121,103,19
60,0.5,30,4,1.05,0.75,0.75,independent,Nominal,3374.988211712,3370.89131092073,3056.29992531189,3071.58367807527,2759.32596033322,0,121,109,3
60,0.5,30,4,1.05,0.75,0.75,independent,CR-SHP,2897.13980847376,3277.88074373998,3063.33086873321,3079.32495081685,2857.18276670778,93.010567180751,121,109,13
60,0.5,30,4,1.05,0.75,0.75,independent,CVaR-CR-SHP,2795.17639884626,2928.12033067928,2881.0889154242,2883.4917192654,2848.77915543546,442.770980241451,121,109,27
60,0.5,30,4,1.05,0.75,0.75,independent,Mixed,2845.58728164297,3038.62690439189,2961.22473022766,2966.55822588987,2837.15453976964,332.26440652884,121,109,24
60,0.5,30,4,1.05,0.75,0.75,gaussian06,Nominal,3374.988211712,3099.53246611849,1714.16949821121,1707.87674352888,1520.23676214521,0,121,109,3
60,0.5,30,4,1.05,0.75,0.75,gaussian06,CR-SHP,2897.13980847376,3086.58728618463,2224.03600911209,2222.86470155634,2083.682542998,12.9451799338594,121,109,13
60,0.5,30,4,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2795.17639884626,2894.0377653742,2735.45333843562,2742.8754890307,2679.92103850824,205.494700744283,121,109,27
60,0.5,30,4,1.05,0.75,0.75,gaussian06,Mixed,2845.58728164297,2965.74593148059,2652.26949096225,2659.10948197467,2567.30234475876,133.7865346379,121,109,24
60,0.5,30,4,1.05,0.75,0.75,comonotone,Nominal,3374.988211712,2920.24422844407,1520.23676214521,1520.23676214521,1520.23676214521,30.5385985112966,121,109,3
60,0.5,30,4,1.05,0.75,0.75,comonotone,CR-SHP,2897.13980847376,2950.78282695537,2083.682542998,2083.682542998,2083.682542998,0,121,109,13
60,0.5,30,4,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2795.17639884626,2846.03215566635,2679.92103850824,2679.92103850824,2679.92103850824,104.750671289017,121,109,27
60,0.5,30,4,1.05,0.75,0.75,comonotone,Mixed,2845.58728164297,2886.49689407092,2567.30234475876,2567.30234475876,2567.30234475876,64.2859328844493,121,109,24
60,0.5,30,4,1.05,0.75,0.75,t_copula06,Nominal,3374.988211712,3074.10659815727,1690.06058930267,1681.32663821295,1520.23676214521,2.06787209756703,121,109,3
60,0.5,30,4,1.05,0.75,0.75,t_copula06,CR-SHP,2897.13980847376,3076.17447025483,2210.52576922735,2211.58753369967,2083.682542998,0,121,109,13
60,0.5,30,4,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2795.17639884626,2891.70750726966,2728.16213592005,2735.02310708733,2679.92103850824,184.466962985174,121,109,27
60,0.5,30,4,1.05,0.75,0.75,t_copula06,Mixed,2845.58728164297,2962.46079244002,2641.80594278682,2641.52440362409,2567.30234475876,113.713677814811,121,109,24
60,0.5,30,4,1.05,0.75,0.75,adverse,Nominal,3374.988211712,2840.57862559777,1520.23676214521,1520.23676214521,1520.23676214521,56.5611828759979,121,109,3
60,0.5,30,4,1.05,0.75,0.75,adverse,CR-SHP,2897.13980847376,2897.13980847376,2083.682542998,2083.682542998,2083.682542998,0,121,109,13
60,0.5,30,4,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2795.17639884626,2836.0149589577,2679.92103850824,2679.92103850824,2679.92103850824,61.1248495160639,121,109,27
60,0.5,30,4,1.05,0.75,0.75,adverse,Mixed,2845.58728164297,2865.99104477242,2567.30234475876,2567.30234475876,2567.30234475876,31.1487637013465,121,109,24
60,0.5,30,5,1.05,0.75,0.75,independent,Nominal,3355.90166638365,3355.19715319164,3068.95786139731,3092.41064615468,2773.66813153788,0,121,107,4
60,0.5,30,5,1.05,0.75,0.75,independent,CR-SHP,2870.61848058658,3258.38482439509,3075.68776806582,3094.60018155423,2897.49924472552,96.8123287965477,121,107,15
60,0.5,30,5,1.05,0.75,0.75,independent,CVaR-CR-SHP,2781.55167368005,2867.6181674732,2847.61470555196,2849.38438755198,2828.96544075523,487.578985718442,121,107,28
60,0.5,30,5,1.05,0.75,0.75,independent,Mixed,2829.16856357803,3063.87637005413,2985.01281972155,2991.41682370867,2906.25232348001,291.320783137509,121,107,23
60,0.5,30,5,1.05,0.75,0.75,gaussian06,Nominal,3355.90166638365,3076.04520530481,1632.95151895084,1633.34372897173,1454.73863685293,0,121,107,4
60,0.5,30,5,1.05,0.75,0.75,gaussian06,CR-SHP,2870.61848058658,3071.02269032537,2197.488644611,2188.75722566128,2084.05343398915,5.02251497944417,121,107,15
60,0.5,30,5,1.05,0.75,0.75,gaussian06,CVaR-CR-SHP,2781.55167368005,2846.39514527846,2742.05868361518,2743.68534763501,2710.62328100352,229.650060026354,121,107,28
60,0.5,30,5,1.05,0.75,0.75,gaussian06,Mixed,2829.16856357803,2972.20664361527,2567.31701343942,2564.3115544687,2493.06163475219,103.838561689547,121,107,23
60,0.5,30,5,1.05,0.75,0.75,comonotone,Nominal,3355.90166638365,2812.40086248783,1454.73863685293,1454.73863685293,1454.73863685293,61.9735231690806,121,107,4
60,0.5,30,5,1.05,0.75,0.75,comonotone,CR-SHP,2870.61848058658,2874.37438565691,2084.05343398915,2084.05343398915,2084.05343398915,0,121,107,15
60,0.5,30,5,1.05,0.75,0.75,comonotone,CVaR-CR-SHP,2781.55167368005,2808.12245912367,2710.62328100352,2710.62328100352,2710.62328100352,66.2519265332417,121,107,28
60,0.5,30,5,1.05,0.75,0.75,comonotone,Mixed,2829.16856357803,2856.77057618236,2493.06163475219,2493.06163475219,2493.06163475219,17.6038094745568,121,107,23
60,0.5,30,5,1.05,0.75,0.75,t_copula06,Nominal,3355.90166638365,3063.12644214337,1609.76197780559,1594.05324208387,1454.73863685293,4.44467093654202,121,107,4
60,0.5,30,5,1.05,0.75,0.75,t_copula06,CR-SHP,2870.61848058658,3067.57111307991,2186.19333155121,2177.76637911002,2084.05343398915,0,121,107,15
60,0.5,30,5,1.05,0.75,0.75,t_copula06,CVaR-CR-SHP,2781.55167368005,2847.02342738545,2739.85649004647,2739.99819821627,2710.62328100352,220.547685694464,121,107,28
60,0.5,30,5,1.05,0.75,0.75,t_copula06,Mixed,2829.16856357803,2973.32664790271,2561.01752841797,2556.88397237885,2493.06163475219,94.2444651772034,121,107,23
60,0.5,30,5,1.05,0.75,0.75,adverse,Nominal,3355.90166638365,2805.79831149906,1454.73863685293,1454.73863685293,1454.73863685293,64.8201690875212,121,107,4
60,0.5,30,5,1.05,0.75,0.75,adverse,CR-SHP,2870.61848058658,2870.61848058658,2084.05343398915,2084.05343398915,2084.05343398915,0,121,107,15
60,0.5,30,5,1.05,0.75,0.75,adverse,CVaR-CR-SHP,2781.55167368005,2806.36123308284,2710.62328100352,2710.62328100352,2710.62328100352,64.2572475037355,121,107,28
